ARRESTEE_ID,INCIDENT_ID,ARRESTEE_SEQ_NUM,SEASON,ARREST_TYPE_ID,MULTIPLE_INDICATOR,AGE_ID,AGE_NUM,SEX_CODE,RACE_ID,ETHNICITY_ID,RESIDENT_CODE,UNDER_18_DISPOSITION_CODE,CLEARANCE_IND,AGE_RANGE_LOW_NUM,AGE_RANGE_HIGH_NUM,ARREST_TYPE_CODE,ARREST_TYPE_NAME,OFFENSE_CODE,OFFENSE_NAME,CRIME_AGAINST,CT_FLAG,HC_FLAG,HC_CODE,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,OFFENSE_ID,ATTEMPT_COMPLETE_FLAG,LOCATION_ID,NUM_PREMISES_ENTERED,METHOD_ENTRY_CODE,LOCATION_NAME
34056128,113384735,1,spring,2,N,5,17,M,2,2,R,H,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138501529,C,41,,,School-Elementary/Secondary
34056129,113384736,1,spring,2,N,5,18,F,2,2,R,,,18,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138501530,C,41,,,School-Elementary/Secondary
34056130,113384736,2,spring,2,N,5,17,F,1,2,R,H,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138501530,C,41,,,School-Elementary/Secondary
37098349,121201897,1,autumn,2,N,5,14,M,1,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,146745145,C,41,,,School-Elementary/Secondary
37098350,121201897,2,autumn,2,N,5,15,M,1,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,146745145,C,41,,,School-Elementary/Secondary
37102564,121201796,2,autumn,2,N,5,16,M,1,1,R,H,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,146745026,C,41,,,School-Elementary/Secondary
37102563,121201796,1,autumn,2,N,5,15,M,2,2,R,H,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,146745026,C,41,,,School-Elementary/Secondary
37098377,121202014,1,autumn,2,N,5,14,M,2,2,R,H,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,146745286,C,41,,,School-Elementary/Secondary
37604583,122516126,1,winter,2,N,5,14,F,1,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,148246371,C,41,,,School-Elementary/Secondary
34056428,113385785,1,spring,2,N,5,12,M,2,2,R,R,,12,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138502786,C,41,,,School-Elementary/Secondary
34056449,113385867,1,spring,2,N,5,16,M,1,1,R,H,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138502882,C,41,,,School-Elementary/Secondary
33184427,111314616,1,winter,1,N,5,14,M,2,2,R,R,,14,0,O,On View,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136125412,C,41,,,School-Elementary/Secondary
31981031,107364784,1,winter,1,N,5,13,M,2,2,R,R,,13,0,O,On View,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,131757067,C,41,,,School-Elementary/Secondary
33182452,111310452,1,winter,1,N,5,14,F,2,2,R,R,,14,0,O,On View,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136132071,C,41,,,School-Elementary/Secondary
36255360,118892780,1,autumn,1,N,5,14,M,1,1,R,R,,14,0,O,On View,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,144125939,C,41,,,School-Elementary/Secondary
36255416,118893047,1,autumn,1,N,5,13,M,1,2,R,R,,13,0,O,On View,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,144131249,C,41,,,School-Elementary/Secondary
33189136,111317699,1,winter,1,N,5,14,F,2,2,R,R,,14,0,O,On View,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136131760,C,41,,,School-Elementary/Secondary
33182453,111317948,1,winter,1,N,5,15,M,2,2,R,R,,15,0,O,On View,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136132072,C,41,,,School-Elementary/Secondary
33182454,111317948,2,winter,3,N,5,17,M,2,2,R,R,,17,0,T,Taken INTO Custody,90J,Trespass of Real Property,Society,N,N,,Trespass of Real Property,B,136132072,C,41,,,School-Elementary/Secondary
34056229,113385107,1,spring,1,N,5,17,M,2,1,R,R,,17,0,O,On View,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138501960,C,41,,,School-Elementary/Secondary
34056229,113385107,1,spring,1,N,5,17,M,2,1,R,R,,17,0,O,On View,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138501961,C,41,,,School-Elementary/Secondary
